id	category	question	ground_truth	source_document	source_page_or_section	question_type	difficulty	validation_status	validator	notes
47	Penawaran Mata Kuliah	Setelah saya isi KRS online, siapa yang menyetujui KRS saya?	Setelah mahasiswa mengisi KRS secara online melalui SIAKAD, ketua jurusan atau koordinator program studi menyetujui KRS yang telah diisi.	sop-layanan-penawaran-mata-kuliah-1719021771-T2v0n9mZ04.pdf	Bagian 5.1.2.7 Tata Cara Pengisian KRS	Factoid	Easy	Validated		
48	Semester Pendek	Semester pendek itu apa?	Semester pendek adalah penyelenggaraan perkuliahan di antara akhir semester genap tahun ajaran tertentu dan menjelang pelaksanaan semester ganjil tahun ajaran berikutnya.	sop-layanan-semester-pendek-1719023974-dUwTuBDJ6s.pdf	Bagian 1 Pengertian	Factoid	Easy	Validated		
49	Semester Pendek	Berapa lama pelaksanaan semester pendek?	Pelaksanaan kuliah semester pendek dilakukan maksimal dalam tempo 5 minggu.	sop-layanan-semester-pendek-1719023974-dUwTuBDJ6s.pdf	Bagian 1 Pengertian	Factoid	Easy	Validated		
50	Semester Pendek	Semester pendek itu tujuannya untuk apa?	Semester pendek bertujuan untuk perbaikan nilai dan memperlancar kelangsungan studi bagi mahasiswa Fakultas MIPA.	sop-layanan-semester-pendek-1719023974-dUwTuBDJ6s.pdf	Bagian 2 Tujuan	Descriptive	Easy	Validated		
51	Semester Pendek	Berapa maksimal SKS atau mata kuliah yang bisa diambil saat semester pendek?	Mahasiswa yang mengikuti semester pendek membayar uang kuliah dengan maksimum beban 9 SKS atau 3 mata kuliah.	sop-layanan-semester-pendek-1719023974-dUwTuBDJ6s.pdf	Bagian 5.2 Prosedur	Factoid	Medium	Validated		
52	Semester Pendek	Apakah semua mata kuliah bisa diambil saat semester pendek?	Mata kuliah yang diprogram dalam semester pendek adalah mata kuliah yang sudah pernah ditempuh dengan nilai maksimal C.	sop-layanan-semester-pendek-1719023974-dUwTuBDJ6s.pdf	Bagian 5.2 Prosedur	Factoid	Medium	Validated		
53	Semester Pendek	Berapa kali perkuliahan semester pendek dilakukan dalam satu minggu?	Dosen melaksanakan perkuliahan semester pendek sebanyak 3 kali dalam 1 minggu atau 15 kali dalam satu semester pendek, termasuk UTS dan UAS.	sop-layanan-semester-pendek-1719023974-dUwTuBDJ6s.pdf	Bagian 5.6 Prosedur	Factoid	Medium	Validated		
54	Izin Penelitian	Surat izin penelitian itu dipakai untuk apa?	Surat izin penelitian berfungsi untuk memohon izin atau sebagai keterangan dari pimpinan, yaitu Dekan, agar mahasiswa dapat melakukan penelitian di fakultas lain atau instansi lain.	sop-layanan-surat-izin-penelitian-1719024250-KxXdy4yWGS.pdf	Bagian 4 Definisi Istilah	Factoid	Easy	Validated		
55	Izin Penelitian	Kalau mau mengurus surat izin penelitian, langkah awalnya apa?	Mahasiswa menyiapkan berkas kelengkapan, mengisi form surat permohonan izin penelitian, dan menyerahkannya kepada pengadministrasi akademik.	sop-layanan-surat-izin-penelitian-1719024250-KxXdy4yWGS.pdf	Bagian 5.1 Prosedur	Procedural	Easy	Validated		
56	Izin Penelitian	Setelah berkas izin penelitian saya masuk, siapa yang memverifikasi datanya?	Subkoordinator bidang akademik memverifikasi data permohonan izin penelitian yang diserahkan oleh mahasiswa.	sop-layanan-surat-izin-penelitian-1719024250-KxXdy4yWGS.pdf	Bagian 5.2 Prosedur	Factoid	Easy	Validated		
57	Izin Penelitian	Siapa yang menandatangani surat izin penelitian?	Surat izin penelitian divalidasi oleh Wakil Dekan Bidang Akademik dan ditandatangani oleh Dekan.	sop-layanan-surat-izin-penelitian-1719024250-KxXdy4yWGS.pdf	Bagian 5.4 dan 5.5 Prosedur	Factoid	Easy	Validated		
58	Bebas Akademik	Surat keterangan bebas akademik itu untuk siapa?	Surat keterangan bebas akademik ditujukan untuk mahasiswa yang telah melaksanakan semua kewajibannya sehingga dinyatakan bebas masalah akademik.	sop-layanan-surat-keterangan-bebas-akademik-1719024479-mZdaVcUMoH.pdf	Bagian 1 Pengertian	Factoid	Easy	Validated		
59	Bebas Akademik	Surat bebas akademik dibutuhkan untuk apa?	Prosedur surat keterangan bebas akademik berlaku bagi mahasiswa yang hendak mendaftar wisuda, karena salah satu persyaratannya adalah surat keterangan bebas kuliah.	sop-layanan-surat-keterangan-bebas-akademik-1719024479-mZdaVcUMoH.pdf	Bagian 3 Ruang Lingkup	Factoid	Easy	Validated		
60	Bebas Akademik	Kalau mau mengurus surat bebas akademik, saya mulai dari mana?	Mahasiswa meminta blangko surat keterangan bebas kuliah di bagian akademik.	sop-layanan-surat-keterangan-bebas-akademik-1719024479-mZdaVcUMoH.pdf	Bagian 4.1 Prosedur	Procedural	Easy	Validated		
61	Bebas Akademik	Apa dokumen yang dilampirkan saat mengajukan surat bebas akademik?	Mahasiswa mengajukan surat keterangan bebas kuliah dengan melampirkan daftar transkrip nilai yang ditandatangani jurusan.	sop-layanan-surat-keterangan-bebas-akademik-1719024479-mZdaVcUMoH.pdf	Bagian 4.4 Prosedur	Factoid	Medium	Validated		
62	Bebas Akademik	Siapa yang menandatangani surat bebas akademik?	Surat keterangan bebas kuliah dikoreksi dan ditandatangani oleh Wakil Dekan Bidang Akademik setelah dipastikan semua mata kuliah sudah ditempuh.	sop-layanan-surat-keterangan-bebas-akademik-1719024479-mZdaVcUMoH.pdf	Bagian 4.6 Prosedur	Factoid	Easy	Validated		
63	Legalisir	Legalisir ijazah atau transkrip itu maksudnya apa?	Legalisir ijazah atau transkrip nilai adalah kegiatan membubuhkan tanda tangan pejabat fakultas dan cap fakultas pada lembar fotokopi ijazah atau transkrip nilai asli.	sop-layanan-legalisir-ijazahtranskrip-nilai-1719020622-Gsbjs51NgG.pdf	Bagian I Pengertian	Factoid	Easy	Validated		
64	Legalisir	Kalau mau legalisir ijazah atau transkrip, apa yang harus dibawa alumni?	Alumni membawa fotokopi ijazah atau transkrip nilai dan melampirkan ijazah atau transkrip nilai asli.	sop-layanan-legalisir-ijazahtranskrip-nilai-1719020622-Gsbjs51NgG.pdf	Bagian V Prosedur poin 1	Procedural	Easy	Validated		
65	Legalisir	Siapa yang memeriksa fotokopi ijazah atau transkrip saat legalisir?	Pengadministrasi kemahasiswaan dan alumni menerima serta memeriksa fotokopi ijazah atau transkrip nilai beserta dokumen aslinya.	sop-layanan-legalisir-ijazahtranskrip-nilai-1719020622-Gsbjs51NgG.pdf	Bagian V Prosedur poin 2	Factoid	Easy	Validated		
66	Legalisir	Siapa yang menandatangani fotokopi ijazah atau transkrip yang sudah dilegalisir?	Dekan menandatangani lembar fotokopi ijazah atau transkrip nilai yang telah dibubuhi paraf Subkoordinator bidang kemahasiswaan dan alumni.	sop-layanan-legalisir-ijazahtranskrip-nilai-1719020622-Gsbjs51NgG.pdf	Bagian V Prosedur poin 5	Factoid	Easy	Validated		
67	KKN	KKN itu apa dan apakah wajib untuk mahasiswa S1?	Kuliah Kerja Nyata adalah kegiatan intrakurikuler yang wajib diprogramkan dan dilaksanakan oleh setiap mahasiswa Program Sarjana, dengan bobot 4 SKS.	sop-layanan-kuliah-kerja-nyata-kkn-1719228386-lNjZDHGBlA.pdf	Bagian 1 Pengertian	Factoid	Easy	Validated		
68	KKN	Apa saja jenis KKN di FMIPA UHO?	KKN di FMIPA UHO meliputi KKN Reguler, KKN Tematik atau Terintegrasi, dan KKN Pembelajaran dan Pemberdayaan Masyarakat atau KKN PPM.	sop-layanan-kuliah-kerja-nyata-kkn-1719228386-lNjZDHGBlA.pdf	Bagian 1 Pengertian	Factoid	Easy	Validated		
69	KKN	Berapa SKS minimal untuk bisa ikut KKN Reguler?	Untuk mengikuti KKN Reguler atau Non Reguler, mahasiswa harus lulus minimal 100 SKS.	sop-layanan-kuliah-kerja-nyata-kkn-1719228386-lNjZDHGBlA.pdf	Bagian 5.5 Ketentuan Umum	Factoid	Easy	Validated		
70	KKN	Kalau KKN Tematik, minimal sudah menempuh berapa SKS?	Untuk mengikuti KKN Tematik, mahasiswa telah menempuh perkuliahan 75 SKS, aktif kuliah, dan memenuhi persyaratan tambahan yang ditetapkan penanggung jawab KKN Tematik.	sop-layanan-kuliah-kerja-nyata-kkn-1719228386-lNjZDHGBlA.pdf	Bagian 5.5 Ketentuan Umum	Factoid	Medium	Validated		
71	KKN	Berapa lama pelaksanaan KKN?	Pelaksanaan KKN berlangsung lebih kurang 45 hari.	sop-layanan-kuliah-kerja-nyata-kkn-1719228386-lNjZDHGBlA.pdf	Bagian 5.6 Ketentuan Umum	Factoid	Easy	Validated		
72	KKN	Nilai KKN itu berasal dari siapa saja?	Nilai KKN dikeluarkan LPM dan berasal dari penilaian pembimbing KKN, kepala desa atau lurah atau kantor di lokasi KKN, dan LPM.	sop-layanan-kuliah-kerja-nyata-kkn-1719228386-lNjZDHGBlA.pdf	Bagian 5.8 Ketentuan Umum	Factoid	Medium	Validated		
73	KKN	Bagaimana cara daftar KKN Reguler atau Non Reguler?	Pendaftaran calon peserta KKN Reguler atau Non Reguler dilakukan secara online melalui website www.kkn.uho.ac.id.	sop-layanan-kuliah-kerja-nyata-kkn-1719228386-lNjZDHGBlA.pdf	Bagian 6 Alur / Bagan Alir	Procedural	Easy	Validated		
74	KKN	Berkas apa yang biasanya terkait dengan layanan KKN?	Borang atau lembar kerja layanan KKN meliputi formulir pendaftaran KKN, fotokopi slip pembayaran UKT, KRS, transkrip nilai, dan lembar penilaian KKN.	sop-layanan-kuliah-kerja-nyata-kkn-1719228386-lNjZDHGBlA.pdf	Bagian 7 Borang / Lembar Kerja	Factoid	Medium	Validated		
75	Praktikum	Praktikum itu sebenarnya kegiatan seperti apa?	Praktikum adalah kegiatan belajar mengajar tatap muka antara dosen atau tenaga pendidik yang dibantu asisten dan mahasiswa, yang menekankan aspek keterampilan, pengetahuan, dan sikap dengan menggunakan peralatan laboratorium atau laboratorium lapangan.	sop-layanan-praktikum-1719023591-YDFIpSKls6.pdf	Bagian 1.1 Pengertian	Factoid	Easy	Validated		
76	Praktikum	Kalau 1 SKS praktikum, biasanya berapa lama kegiatannya?	Satu kali tatap muka praktikum adalah 50 menit dikalikan bobot SKS kuliah atau 3 sampai 5 jam per minggu untuk 1 SKS praktikum.	sop-layanan-praktikum-1719023591-YDFIpSKls6.pdf	Bagian 1.1 Pengertian	Factoid	Medium	Validated		
77	Praktikum	Siapa yang membimbing mahasiswa saat praktikum?	Mahasiswa dibimbing oleh dosen pembimbing praktikum, yaitu tenaga pendidik profesional dan ilmuwan yang ditugaskan untuk membimbing mahasiswa dalam mempraktikkan teori pada mata kuliah berpraktik.	sop-layanan-praktikum-1719023591-YDFIpSKls6.pdf	Bagian 1.2 Pengertian	Factoid	Easy	Validated		
78	Praktikum	Asisten praktikum itu tugasnya apa?	Asisten adalah seseorang yang berdasarkan persyaratan pendidikan dan keahlian ditugaskan untuk membantu dosen dalam kegiatan praktikum.	sop-layanan-praktikum-1719023591-YDFIpSKls6.pdf	Bagian 1.3 Pengertian	Factoid	Easy	Validated		
79	Praktikum	Sebelum praktikum berjalan, siapa yang menyusun jadwal praktikum?	Jadwal praktikum disusun oleh jurusan berdasarkan hasil rapat internal.	sop-layanan-praktikum-1719023591-YDFIpSKls6.pdf	Bagian 4.1 Prosedur	Procedural	Easy	Validated		
